RegionName,State,CountyName,Month,AverageHomePrice,Date
Kingman,AZ,Mohave,1996-07,77300.0,1996-07-01
Buckeye,AZ,Maricopa,1996-07,,1996-07-01
Apache Junction,AZ,Pinal,1996-07,75800.0,1996-07-01
Oro Valley,AZ,Pima,1996-07,159600.0,1996-07-01
Anthem,AZ,Maricopa,1996-07,149500.0,1996-07-01
Sun City,AZ,Maricopa,1996-07,84600.0,1996-07-01
Bullhead City,AZ,Mohave,1996-07,90800.0,1996-07-01
Prescott Valley,AZ,Yavapai,1996-07,94500.0,1996-07-01
El Mirage,AZ,Maricopa,1996-07,79100.0,1996-07-01
Catalina Foothills,AZ,Pima,1996-07,211500.0,1996-07-01
Sun City West,AZ,Maricopa,1996-07,129200.0,1996-07-01
Somerton,AZ,Yuma,1996-07,70500.0,1996-07-01
Cottonwood,AZ,Yavapai,1996-07,94300.0,1996-07-01
Nogales,AZ,Santa Cruz,1996-07,74500.0,1996-07-01
Florence,AZ,Pinal,1996-07,,1996-07-01
Douglas,AZ,Cochise,1996-07,49500.0,1996-07-01
Sahuarita,AZ,Pima,1996-07,109600.0,1996-07-01
Fountain Hills,AZ,Maricopa,1996-07,170200.0,1996-07-01
Green Valley,AZ,Pima,1996-07,114500.0,1996-07-01
Tanque Verde,AZ,Pima,1996-07,197100.0,1996-07-01
Sedona,AZ,Yavapai,1996-07,204100.0,1996-07-01
San Luis,AZ,Yuma,1996-07,67400.0,1996-07-01
Eloy,AZ,Pinal,1996-07,,1996-07-01
Marana,AZ,Pima,1996-07,126800.0,1996-07-01
Show Low,AZ,Navajo,1996-07,,1996-07-01
Flowing Wells,AZ,Pima,1996-07,73800.0,1996-07-01
Rio Rico,AZ,Santa Cruz,1996-07,84900.0,1996-07-01
Safford,AZ,Graham,1996-07,69500.0,1996-07-01
Winslow,AZ,Navajo,1996-07,50300.0,1996-07-01
Coolidge,AZ,Pinal,1996-07,60700.0,1996-07-01
Tucson Estates,AZ,Pima,1996-07,118300.0,1996-07-01
Chino Valley,AZ,Yavapai,1996-07,112100.0,1996-07-01
Camp Verde,AZ,Yavapai,1996-07,95300.0,1996-07-01
Globe,AZ,Gila,1996-07,63100.0,1996-07-01
Paradise Valley,AZ,Maricopa,1996-07,,1996-07-01
Payson,AZ,Gila,1996-07,116300.0,1996-07-01
Parker,AZ,La Paz,1996-07,,1996-07-01
Litchfield Park,AZ,Maricopa,1996-07,131600.0,1996-07-01
Benson,AZ,Cochise,1996-07,73100.0,1996-07-01
Hereford,AZ,Cochise,1996-07,110500.0,1996-07-01
Willcox,AZ,Cochise,1996-07,51600.0,1996-07-01
Gold Canyon,AZ,Pinal,1996-07,131200.0,1996-07-01
Bisbee,AZ,Cochise,1996-07,57100.0,1996-07-01
Page,AZ,Coconino,1996-07,123100.0,1996-07-01
Huachuca City,AZ,Cochise,1996-07,66600.0,1996-07-01
Tolleson,AZ,Maricopa,1996-07,62900.0,1996-07-01
Williams,AZ,Coconino,1996-07,98900.0,1996-07-01
Mohave Valley,AZ,Mohave,1996-07,82600.0,1996-07-01
Tortolita,AZ,Pima,1996-07,181100.0,1996-07-01
Wickenburg,AZ,Maricopa,1996-07,136300.0,1996-07-01
South Tucson,AZ,Pima,1996-07,48400.0,1996-07-01
Catalina,AZ,Pima,1996-07,143000.0,1996-07-01
Golden Valley,AZ,Mohave,1996-07,63600.0,1996-07-01
Valencia West,AZ,Pima,1996-07,97600.0,1996-07-01
Pinetop,AZ,Navajo,1996-07,139100.0,1996-07-01
Lakeside,AZ,Navajo,1996-07,88800.0,1996-07-01
